theta,ene,phi
1.5707963267948966,-0.24999986203718416,-0.4999995237887844
1.5315264186250241,-0.2498554645253765,-0.49503392553312586
1.4922565104551517,-0.24942236537639265,-0.4898548092888578
1.4529866022852793,-0.24870223025986887,-0.484436164756752
1.4137166941154067,-0.24769762627052455,-0.478747014916056
1.3744467859455343,-0.2464121925348386,-0.4727512204308688
1.3351768777756619,-0.24485068930780968,-0.46640534484605894
1.2959069696057894,-0.2430190642589044,-0.45966053544034124
1.256637061435917,-0.24092454605255076,-0.4524563337216928
1.2173671532660446,-0.23857576697496397,-0.44471859185988394
1.178097245096172,-0.23598292348989738,-0.4363621867822056
1.1388273369262996,-0.23315800026220776,-0.4272771943473486
1.0995574287564271,-0.23011506600849402,-0.4173270926278913
1.0602875205865547,-0.2268706857313586,-0.4063374686309944
1.0210176124166823,-0.22344450244045025,-0.3940804337736197
0.9817477042468098,-0.21986008640635832,-0.3802429818580151
0.9738937226128359,-0.2191266171167559,-0.3770915480443235
0.9581857593448869,-0.21764531103190357,-0.370833183093022
0.9424777960769379,-0.21614633868624059,-0.36420664883855414
0.926769832808989,-0.21463229875302478,-0.357159971689973
0.91106186954104,-0.21310591202597096,-0.34963843852114407
0.895353906273091,-0.21157021407198226,-0.3415766505033415
0.879645943005142,-0.2100286205940164,-0.3328941936151051
0.863937979737193,-0.20848501351873341,-0.3234903347569671
0.848230016469244,-0.2069438578509916,-0.3132360275760819
0.832522053201295,-0.2054103651777012,-0.30196134681020986
0.816814089933346,-0.20389073110684186,-0.28943471328628356
0.801106126665397,-0.20239249667406586,-0.2753263084041172
0.7853981633974481,-0.20092513331622566,-0.25913823719502016
0.7696902001294992,-0.19950107338209633,-0.24005618751913466
0.7539822368615502,-0.19813777076322941,-0.21658375983926942
0.7382742735936012,-0.196862900748092,-0.1855563382926394
0.7225663103256522,-0.1957349114405094,-0.13661773104011884
0.7068583470577032,-0.19527682991411957,-0.0008929200480883442
0.6911503837897542,-0.20928919991141812,0.33657425364650434
0.6754424205218053,-0.21128910618533148,0.3469180816942159
0.6597344572538563,-0.21286195511460343,0.35401086644742746
0.6440264939859073,-0.21442006092442759,0.3607236818136902
0.6283185307179583,-0.21596167357647872,0.36709413115947426
0.5890486225480853,-0.21969488213781932,0.381407624564618
0.5497787143782129,-0.22335253918453893,0.3946117271804529
0.5105088062083405,-0.22680740223992332,0.40636355057342277
0.47123889803846797,-0.23007185887433365,0.4170310878614304
0.43196898986859555,-0.23312909159695175,0.4267881812816461
0.3926990816987231,-0.23596408858737006,0.43577102355063585
0.35342917352885067,-0.238563908298173,0.44408961275059344
0.3141592653589782,-0.24091740322150465,0.45183397959860877
0.27488935718910573,-0.24301500369396017,0.45907864687279126
0.2356194490192333,-0.24484855354360846,0.46588589982265227
0.19634954084936085,-0.24641118452178862,0.47230823356746976
0.1570796326794884,-0.24769722027768004,0.4783902113174
0.11780972450961595,-0.24870210333836074,0.4841698925573418
0.0785398163397435,-0.2494223404444611,0.48967994110611357
0.039269908169871054,-0.24985546294916602,0.4949484902343972
-1.3951473992034527e-15,-0.2499999999999349,0.4999998195948356
