theta,ene,phi
0.9738937226128359,-0.2191266171167559,-0.3770915480443235
0.9581857593448869,-0.21764531103190357,-0.370833183093022
0.9424777960769379,-0.21614633868624059,-0.36420664883855414
0.926769832808989,-0.21463229875302478,-0.357159971689973
0.91106186954104,-0.21310591202597096,-0.34963843852114407
0.895353906273091,-0.21157021407198226,-0.3415766505033415
0.879645943005142,-0.2100286205940164,-0.3328941936151051
0.863937979737193,-0.20848501351873341,-0.3234903347569671
0.848230016469244,-0.2069438578509916,-0.3132360275760819
0.832522053201295,-0.2054103651777012,-0.30196134681020986
0.816814089933346,-0.20389073110684186,-0.28943471328628356
0.801106126665397,-0.20239249667406586,-0.2753263084041172
0.7853981633974481,-0.20092513331622566,-0.25913823719502016
0.7696902001294992,-0.19950107338209633,-0.24005618751913466
0.7539822368615502,-0.19813777076322941,-0.21658375983926942
0.7382742735936012,-0.196862900748092,-0.1855563382926394
0.7225663103256522,-0.1957349114405094,-0.13661773104011884
0.7068583470577032,-0.19527682991411957,-0.0008929200480883442
0.6911503837897542,-0.20928919991141812,0.33657425364650434
0.6754424205218053,-0.21128910618533148,0.3469180816942159
0.6597344572538563,-0.21286195511460343,0.35401086644742746
0.6440264939859073,-0.21442006092442759,0.3607236818136902
0.6283185307179583,-0.21596167357647872,0.36709413115947426
