theta,ene,phi
0.5969026041820606,-0.21885612484537345,0.37776065974754675
0.6126105674500096,-0.21764455207237607,0.36882696811864374
0.6283185307179586,-0.2161454653429186,0.3620926679885035
0.6440264939859076,-0.2146312955823884,0.3549443036705551
0.6597344572538566,-0.21310475875445303,0.3473154382183629
0.6754424205218056,-0.21156888637329627,0.3391398981760451
0.6911503837897546,-0.21002708897470931,0.3303363318019422
0.7068583470577036,-0.20848324174348412,0.3208028172029726
0.7225663103256525,-0.2069418007094015,0.3104087657566898
0.7382742735936015,-0.20540796523580448,0.2989821947586913
0.7539822368615505,-0.20388791385265667,0.28628868444088296
0.7696902001294995,-0.20238916305902302,0.2719943207627094
0.7853981633974485,-0.20092114802830494,0.25559496228549805
0.8011061266653974,-0.19949624644629488,0.23626601686605594
0.8168140899333464,-0.19813183227917486,0.21249223380824642
0.8325220532012954,-0.1968555581143088,0.18107092058864574
0.8482300164692443,-0.19572629489366303,0.13152642830190223
0.8639379797371933,-0.1952884272414284,-0.005392884180240254
0.8796459430051423,-0.20929297710946312,-0.3389201880086987
0.8953539062730913,-0.21128921857292632,-0.3491472226178558
0.9110618695410403,-0.2128620523161313,-0.356152794614215
0.9267698328089893,-0.2144201483658832,-0.3627811381832842
0.9424777960769383,-0.21596175215657737,-0.36906969290866953
